Name,Street Address,Type,Reviews,No of Reviews,Comments,Price_Range,State,ZipCode,City,weighted_ratings
The Attic,3441 E Broadway," Cajun & Creole, American, Vegetarian Friendly",4.5,187,,$$ - $$$,CA,90803-5906,Long Beach,841.5
Del Posto,85 Tenth Avenue," Italian, Vegetarian Friendly, Vegan Options",4.5,1653,"Fabulous!  Deserves the Michelin Star that it already has.  We had the 5 course dinner on a wintry Sunday night.  All 5 courses were marvelous!  Having said that, the linguine with geoduck was my favorite, followed closely by the veal/tuna/sweetbread appetizer.  Pork agnolotti and branzino...More",$$$$,NY,10011,New York City,7438.5
Moore's Tavern & Restaurant,402 W Main St," American, Bar, Pub",3.5,223,On Tuesdays Moore's has 2 for 1 burgers. The burgers are good and large. The service however was not so good. My wife ordered bacon with her burger but did not get it. When we mentioned this to the waitress so we wouldn't be charged...More,$$ - $$$,NJ,07728-2540,Freehold,780.5
Fin Raw Bar and Kitchen,183 Glenridge Ave," American, Seafood",4.0,153,"Oh the food is the freshest ever. Sushi bar rocks. Wait staff good looking, fun and helpful in selecting from the awesome dishes and specials. Fish tacos are superb. This is also best run location.",$$ - $$$,NJ,07042-3526,Montclair,612.0
The Capital Grille,117 W 4th St," American, Steakhouse, Gluten Free Options",4.5,240,"Such a nice evening! Professional and kind service in a cozy atmosphere. Everything was delicious. We shared oysters, truffle fries and asparagus. We both had beautiful steaks. Would go monthly if I lived here.",$$$$,TX,78701-3914,Austin,1080.0
The Cheesecake Factory,639 E Shaw Ave," American, Vegetarian Friendly, Vegan Options",4.0,364,,$$ - $$$,CA,93710-7729,Fresno,1456.0
Pizzeria Credo,4520 California Ave SW," Italian, Pizza, Vegetarian Friendly",4.5,191,"Six of us dined here last night - Carbonara, pizzas, gnocchi, caprese and desserts were all excellent - both taste and presentation.  Warm, friendly and attentive service. Love this place!  A new favorite in Seattle.",$$ - $$$,WA,98116-4111,Seattle,859.5
Cheeseboard Pizza,1504 Shattuck Ave," Pizza, Vegetarian Friendly, Vegan Options",4.5,775,,$,CA,94709-1517,Berkeley,3487.5
Cortina's Italian Market & Pizzeria,2175 W Orange Ave," Italian, Pizza, Deli",4.5,124,,$$ - $$$,CA,92804-3556,Anaheim,558.0
Havana Central,One Ridge Hill Blvd," Caribbean, Latin, Spanish",3.5,198,"We came with high hopes and left underwhelmed. We were hoping for something a bit different, and interesting. The waitress spent more time describing drinks than food, which made me realise that this was more of a bar than a restaurant. And the food was...More",$$ - $$$,NY,10710-7609,Yonkers,693.0
Yard House,300 Santana Row," American, Bar, Pub",4.0,292,,$$ - $$$,CA,95128-2423,San Jose,1168.0
Siete Banderas,901 Iturbide St, Mexican,4.5,29,We had my daughter-in-law’s baby shower and we invited a large group of friends and family to celebrate the future birth of my granddaughter.  Siete Banderas restaurant offers a varied and delicious brunch items.  Everybody enjoyed the food and drinks.,$$ - $$$,TX,78040-5859,Laredo,130.5
Jeanne D'Arc Restaurant,715 Bush St," French, European, Vegetarian Friendly",4.5,683,,$$ - $$$,CA,94108-3402,San Francisco,3073.5
Luby's Cafeteria Mall Del Norte,5300 Ih 35," Italian, Vegetarian Friendly, Vegan Options",4.0,27,"Located inside the Mall Del Norte, this is a rather small but clean Luby's.  The food and service are usually quite good.",American,TX,TX,Laredo,108.0
Norma's Cafe,8300 Gaylord Pkwy," American, Cafe, Diner",4.5,214,"Great home style food. Yummy breakfast. Large portions. Have tried chicken strips, burgers, chicken fried steak and pies. All great!",$$ - $$$,TX,75034-8566,Frisco,963.0
Lonesome Dove Western Bistro,2406 N Main St," American, Southwestern, Vegetarian Friendly",4.5,513,What a fantastic experience. The bartender was very knowledgeable about the menu and a joy to talk with.  Our server Joe as knowledgeable and attentive. The food was Devine.  The appetizers were out of this world.  I had the elk for my main course and...More,$$$$,TX,76164-8519,Fort Worth,2308.5
KathaKali Indian Eatery,11451 98th Ave NE," Indian, Asian, Vegetarian Friendly",4.5,44,"We thoroughly enjoyed our Valentine’s Weekend dinner here!  We’d been advised by a friend to arrive early on a weekend, so we arrived as they opened for the dinner service @ 5:30 (they don’t accept weekend reservations).  By 6:00 pm there was a line of...More",$$ - $$$,WA,98033-4325,Kirkland,198.0
Mission Galleria,3700 Main St, Cafe,4.5,28,,$,CA,92501-3317,Riverside,126.0
Bill's Cafe,1115 Willow St," American, Cafe, International",4.5,611,,$$ - $$$,CA,95125-3158,San Jose,2749.5
MASH'D,3401 Preston Rd Ste D1," American, Bar, International",4.5,307,If you are in Frisco you have to stop here. The Drinks are amazing. Service is great. Food is great.,$$ - $$$,TX,75034-9007,Frisco,1381.5
Eddie V's Wildfish,1370 Bison Ave," American, Seafood, Vegetarian Friendly",4.5,440,,$$$$,CA,92660-9071,Newport Beach,1980.0
Buzzard Billy's,100 Interstate 35 N," American, Bar, Seafood",3.5,660,We sure enjoyed our meal and the margaritas we had at Buzzard Billy’s. The place was hard to get to because of construction but well worth it. It’s on the river and has a great view and was very nice indoors with friendly staff.,$$ - $$$,TX,76704-2518,Waco,2310.0
Anthony's HomePort,135 Lake St S," American, Seafood, Vegetarian Friendly",4.0,413,The 3 course menu for $25 is available anytime in January which is a good deal. The salmon dip and northwest duet were good. However the salmon dip was only accompanied by a couple of crackers and slices of apple. The hot fudge sundae for...More,$$ - $$$,WA,98033-6468,Kirkland,1652.0
Kwan Tip Thai,29426 Pacific Hwy S," Asian, Thai, Vegetarian Friendly",4.5,28,"We had a meeting in Federal Way that was going to end late, and I knew we needed to get to lunch right away, so I researched places. This sounded good, and am I glad we went!  We had the Kwan Tip Wings, which was...More",$$ - $$$,WA,98003-3829,Federal Way,126.0
Longboard Restaurant & Pub,217 Main St," American, Bar, Pub",4.0,135,,$$ - $$$,CA,92648-5127,Huntington Beach,540.0
Acropolis Pizza & Pasta,500 Central Way," Greek, Italian, Pizza",4.0,74,"This place has been run by the same family since they opened in 1973.  I had a salad and a half meatball grinder, sliced meatballs with tomato sauce and cheese.  These things are delicious but can be messy to eat.  Imagine if it had round...More",$,WA,98033-6208,Kirkland,296.0
Cedars at Pier One,355 Clover Island Dr," American, Seafood, Bar",4.0,160,"We were excited to go here and have an early Valentine's Day dinner, Thursday, the day before the holiday and see if things had changed with the new owner. We sat in the lounge while we waited for our table. The atmosphere was relaxed, the...More",$$$$,WA,99336-3678,Kennewick,640.0
Bisque Restaurant,2020 Long Beach Blvd," American, Seafood, Gluten Free Options",4.5,273,"Three star restaurant, open all year BYOB.Classy, elegant dining. Wine glasses, table cloths. There’s not one thing on the fine menu that I would not try! Great Chef! You got me hooked!!!🤙🤙🤙",$$$$,NJ,08008-4353,"Ship Bottom, Long Beach Island",1228.5
Rosco's Burger Inn,3829 Tompkins Rd," American, Diner",4.5,86,"We had a Cheeseburger and Cujo dog! Onion rings were impressive- the straight cut French fries were golden, brown and delicious. The bowl of chili with onions and cheese was good and perfectly spicy. The spicy ketchup and salsa served in squeeze bottles are also...More",$,TX,79930-6215,El Paso,387.0
The Capital Grille,155 E 42nd St," American, Steakhouse, Vegetarian Friendly",4.5,932,Service was great and the steaks were awesome. I highly recommend this Capital Grill when In NYC. Everyone was accomodating.,$$$$,NY,10017-5608,New York City,4194.0
Maxie's Supper Club and Oyster Bar,635 W State St," American, Bar, Seafood",4.0,378,"They nailed the Cajun atmosphere, felt like we could be dining in a New Orleans restaurant! Our waitress was very bubbly, attentive and informative. We ordered oysters from 3 different north eastern states. I had only had oysters from the gulf and never knew they...More",$$ - $$$,NY,14850-3347,Ithaca,1512.0
The Cheesecake Factory,197 Riverside Sq Mall," American, Vegetarian Friendly, Vegan Options",4.0,217,"Lots of bread and butter to start.
Expensive, small drinks with too much ice no matter what you ask for.
Big bowls of cheap lettuce with minimal nothing special ingredients.
AND - $9 a slice for their 2,000 calorie cheesecake lol. Argh! 
Stay away please...More",$$ - $$$,NJ,07601-6310,Hackensack,868.0
677 Prime,677 Broadway," American, Steakhouse, Gluten Free Options",4.5,437,"Tremendous service.  Nice atmosphere.  Ordered the large filet mignon and it had a lot of grisly fat in the middle.  Didn't complain cause im not one for that, but that is a few times now where my steak there was well below average.  I prefer...More",$$$$,NY,12207-2998,Albany,1966.5
Bareburger,7149 Austin St," American, Vegetarian Friendly, Vegan Options",4.0,138,"We ordered from this location 
And I'll say excellent burgers.  
Good size..  Very tasty
But very pricey",$$ - $$$,NY,11375-4728,Forest Hills,552.0
Oto Sushi,11628 97th Ln NE," Japanese, Sushi, Asian",4.0,51,"We had the Mt St Helens special.  It’s a roll with avocado and crab meat inside and a fish variety on the outside.  It was great and creative.  The sushi we had was all very good.  

The soba noodle was mediocre, so don’t go for...More",$$ - $$$,WA,98034-4269,Kirkland,204.0
Planet Thai,910 NE Tenney Rd," Asian, Thai, Vegetarian Friendly",4.5,100,"Recently received a score of 60 from health department.  A score of 100 or higher  is closing the establishment 
Don't think I'll be back.",$$ - $$$,WA,98685-2837,Vancouver,450.0
Red Apple Cafe,488 W Herndon Ave," American, Cafe, Vegetarian Friendly",4.5,87,,$$ - $$$,CA,93650-1329,Fresno,391.5
Ayothaya Thai Restaurant,5604 176th St E," Thai, Asian, Vegan Options",4.5,30,An extensive menu that does not disappoint. This is my go-to place for Thai food near home. I love both the Tom Yum and the Tom Ka soups. I often just order the soup with a side of rice for an excellent meal.,$$ - $$$,WA,98375-9306,Puyallup,135.0
Mulvaney's Building & Loan,1215 19th St," American, Vegetarian Friendly, Vegan Options",4.5,250,,$$$$,CA,95811-4154,Sacramento,1125.0
Fat Pie Pizza,1015 Harris Ave," Italian, American, Pizza",4.5,219,"Even a boy from Brooklyn NY enjoyed the pizza. Nice soft pizza with good cheese, mushrooms and pepperoni. Also had a bison burger which was cooked the way we like it. 

And the staff was extremely helpful and attentive. We carried out and everything was...More",$$ - $$$,WA,98225-7034,Bellingham,985.5
Jack Allen's Kitchen,3600 N Capital of Texas Hwy," American, Southwestern, Bar",4.5,184,Had a valentine dinner with my wife. She had the grilled ruby red trout and she said it was excellent. I had the crispy fried red fish and it was excellent. Our waiter was very personable and excellent service.,$$ - $$$,TX,78746-3314,Austin,828.0
Rutabegorz,158 W Main St," American, Vegetarian Friendly, Vegan Options",4.5,174,,$$ - $$$,CA,92780,Tustin,783.0
La Volpe,201 Brazos St. Bldg B," Italian, American, Seafood",4.5,11,"What Can I say ? When in Austin you should visit La Volpe, my first time around and by far I am already in love. I had no idea about the restaurant but my mom is from around and she told me about this incredible...More",$$ - $$$,TX,78701,Austin,49.5
Brother's Office Pizzeria,13221 E 32nd Ave," Pizza, Vegetarian Friendly",4.5,58,"We have been to both Valley locations, multiple times. The stores are not really that big so finding a place to sit can sometimes be difficult. Not a place to bring more than about 6-8 people. Their pizza is quite excellent,  maybe in the Spokane...More",$$ - $$$,WA,99216-0138,Spokane Valley,261.0
Gorkha Durbar,25250 Pacific Hwy S," Asian, Indian, Tibetan",4.5,12,"Our group of 4 was limited in knowledge of the restaruant fare.  Our server, Anis, was very helpful in suggesting items that made our dining experience very enjoyable.  We enjoyed panner momos, spinach naan, vegetable thukpa, mango chicken, and lamb saag.  With our restaurant.com coupon,...More",$$ - $$$,WA,98032-6539,Kent,54.0
H3 Ranch,109 E Exchange Ave," American, Steakhouse, Southwestern",4.5,1490,"My first time visiting this restaurant. Oh my!! It was phenomenal from walking in the doors to walking out with a full stomach! Service, food, atmosphere, prices... I was not disappointed by any means.",$$ - $$$,TX,76164-8211,Fort Worth,6705.0
Ajanta Distinctive Indian Cuisine,1888 Solano Ave," Indian, Vegetarian Friendly, Vegan Options",4.5,162,,$$ - $$$,CA,94707-2309,Berkeley,729.0
Black Angus Steakhouse,3601 Rosedale Hwy," American, Steakhouse, Bar",4.0,401,,$$ - $$$,CA,93308-6230,Bakersfield,1604.0
Off Vine,6263 Leland Way," American, Contemporary, Vegetarian Friendly",4.5,301,,$$ - $$$,CA,90028-8207,Los Angeles,1354.5
Seasons 52,2000 Route 38," American, Wine Bar, Vegetarian Friendly",4.5,493,"The food was very very good.
Over priced in my opinion, but extremely good. Not a big selection to choose from.
The waitress was extremely good in the beginning but tended to ignore us at the end. 
The place was so crowded people were standing...More",$$ - $$$,NJ,08002-2100,Cherry Hill,2218.5
Esquina Latina,25 Liberty St," Latin, Cuban, Caribbean",4.0,100,Visted on a sat night...busy so make sure you reserve a table...moderately priced....excellent portions...started with 3 beef empanadas....tasty and not greasy at all....also had the cuban chorizo..could have been spicier..but it was excellent...for entrees stuffed porkchop with chorizo and manchego cheese....smothered in pears and onions...also...More,$$ - $$$,NJ,08901-1210,New Brunswick,400.0
Pane e Vino,8945 S Fry Rd," Italian, Pizza, Vegetarian Friendly",4.5,54,We heard about Pane e Vino from a friend and decided to try it.  We were met by the owner and escorted to our table.  Three of us ordered the lasagna and thought it was really good.  The fourth person ordered the veal picatta and...More,$$ - $$$,TX,77494,Katy,243.0
Capers + Olives,2933 Colby Ave," Italian, Vegetarian Friendly",4.5,25,"Everything here is delicious and well-prepared from the olives to the bruschetta to the pasta (amazing--we tried three different ones and they were all scrumptious) to the mains. They have a lovely wine list and good cocktails. We went on a monday evening, called last...More",$$ - $$$,WA,98201-4010,Everett,112.5
Elements Restaurant,907 Main Street," American, Vegetarian Friendly, Gluten Free Options",4.5,123,"My sister and I came here on Christmas Eve for dinner and it could not have been more pleasant!!  We both had melt in your mouth salmon, which was expertly prepared and we both loved!!  Also had a delightful cheesecake with wonderful coffee for dessert,...More",$$ - $$$,WA,98660,Vancouver,553.5
Jack's Oyster House,42-44 State Street," American, Seafood, Gluten Free Options",4.0,516,This restaurant feels like you are walking into the past in a good way. Greeted by a gentleman who was polite and very organized. Our waiter never stopped moving was very polite. He was good about all of our requests. We even had to make...More,$$$$,NY,12207-2804,Albany,2064.0
Yono's Restaurant,25 Chapel St," Indonesian, American, Vegetarian Friendly",4.5,282,We’ve been in this nice and classy place for dinner with my husband and we remain very satisfied of our four corses menu! Every plate was delicious and service was awesome) The chief was attentive to every guest! Recommended!,$$$$,NY,12210-2733,Albany,1269.0
Fleming's Prime Steakhouse & Wine Bar,1201 Lake Woodlands Dr Ste 305," American, Steakhouse, Gluten Free Options",4.5,202,"Celebrating the end of 2019.  Reserved for 2 at 4:45, yet table set for four...awkward.  Lots of young families with small children. Fun to watch!  My gorgeous smart & sweet wife had the Modern Caesar Salad that comes with two pieces of petite garlic toasts....More",$$$$,TX,77380-5011,The Woodlands,909.0
Bill's Pizza,119 S Indian Canyon Dr," Italian, Pizza, Vegetarian Friendly",4.5,1492,,$,CA,92262-6603,"Palm Springs, Greater Palm Springs",6714.0
LuNello's Resturant,182 Stevens Ave," Italian, Vegetarian Friendly, Vegan Options",4.5,114,"My sisters and their husbands and I went here for my Mom’s 88th birthday. Wonderful restaurant. The food and service were spectacular. The portions were surprisingly large. But of course you pay for what you get. My brother-in-law picked up the tab, which had to...More",$$$$,NJ,07009-1149,Cedar Grove,513.0
Ironbound,1000 Spring St," American, Bar",4.0,108,"Ironbound - the pizza was pretty good and the beer was cold.  It was cold and rainy outside, I had returned my rental car, the service was good and it was convenient.",$$ - $$$,NJ,07201,Elizabeth,432.0
Pizza Port,13517 Lefferts Blvd," Pizza, Italian",4.0,47,"Deliver to hotels in area. Used them when we stayed at Holiday Inn Express Kennedy Airport. I ordered sausage parmigiana with a nice side salad. My spouse had a baked manicotti dish. Delivery did take an hour, but the dishes were still hot when delivered...More",$,NY,11420-3601,South Ozone Park,188.0
Sbarro,651 Kapkowski Rd," Italian, Pizza, Fast Food",4.0,77,Black Friday everything else was very crowded so we decided to grab a quick bite here. The line moved fast so was good. The cheese pizza was good. But the veggie was below average.the spaghetti was okay,$,NJ,07201-4901,Elizabeth,308.0
Brasilia Grill,99 Monroe Street," Latin, Barbecue, Brazilian",4.0,166,"Food and drinks are always on point. I visit 3 to 4 times a month. Today they had a guest singer. JUST AWEFUL!! He cannot sings,sounds terrible and just loud. How do you chase customers away? Have the band that played at Brasilia on Feb...More",$$ - $$$,NJ,07105,Newark,664.0
Foxy's Restaurant,206 W Colorado St," American, Deli, Vegetarian Friendly",4.5,429,,$$ - $$$,CA,91204-1306,Glendale,1930.5
Henry Street Taproom,86 Henry St," American, Bar, Pub",4.5,161,We stopped in as it looked so cozy with real wood burning fireplaces . The menu had some unique items and many beers to choose from. Our waiter Dave suggested the beer and was exactly what my husband liked. Then he asked me what I...More,$$ - $$$,NY,12866-3218,Saratoga Springs,724.5
Heroes Restaurant and Brewery,3397 Mission Inn Ave," American, Bar, Pub",4.5,182,,$$ - $$$,CA,92501,Riverside,819.0
La Playita,37 14th St," Mexican, Latin, Vegetarian Friendly",4.5,315,,$,CA,90254-3508,Hermosa Beach,1417.5
Metropolitan Cafe,8 E Main St," American, Sushi, Gluten Free Options",4.0,165,"Metropolitan cafe is dependable, always has fresh delicious food. We went most recently for a brunch and it was delicious. A large variety of options, great bar,  and they take reservations-which isn’t common for brunch in the area.",$$ - $$$,NJ,07728-2202,Freehold,660.0
Din Tai Fung,3333 Bristol St," Chinese, Vegan Options",4.5,412,,$$ - $$$,CA,92626-1873,Costa Mesa,1854.0
Rudy's,6401 S Desert Blvd," American, Barbecue, Gluten Free Options",4.5,373,"We went here because it was walking distance to the hotel. Everything is a la carte. We both had the ""dry"" meaning lean brisket. I had coleslaw, my husband had beans, and we were given a baggie of 4 slices of white bread. Cafeteria style...More",$$ - $$$,TX,79932-8515,El Paso,1678.5
Murray's Cheese,254 Bleecker St," Deli, Vegetarian Friendly",4.5,258,"Murray's Cheeses on Bleecker St NYC is the MECCA for cheese lovers. They have a HUGE variety of cheeses; they even allow taste testing of any cheese you want. But they not only have cheese, they have wine, crackers, and various other items that you...More",$$ - $$$,NY,10014-4101,New York City,1161.0
INC Restaurant,302 George St," American, Bar, Vegetarian Friendly",4.5,116,"The staff were very attentive and they gave me a good wine recommendation, a very good service. I had the salmon and it was delicious and ate every bite and no trouble dealing with gluten free. Some of the food options were unusually I would...More",$$ - $$$,NJ,08901-2039,New Brunswick,522.0
Sushi-sake Japanese Restaurant,2150 N Collins Blvd," Japanese, Sushi, Asian",4.5,210,"I was very pleasantly surprised by the quality of food and ambiance of this establishment, felt very Japanese.Will be back.",$$ - $$$,TX,75080-2639,Richardson,945.0
Jin Sushi,1600 19th St," Japanese, Sushi, Asian",4.5,67,,$$ - $$$,CA,93301-4311,Bakersfield,301.5
